CUST_CODE,TOTAL_SALES,TOTAL_VISIT
CUST0000000013,160.32000000000002,12
CUST0000000055,433.6499999999999,15
CUST0000000679,85.63000000000001,14
CUST0000001052,260.9199999999999,31
CUST0000001058,71.50000000000001,2
CUST0000001098,409.1499999999998,41
CUST0000001148,218.0399999999999,55
CUST0000001392,3130.689999999997,156
CUST0000001400,425.01999999999975,5
CUST0000001437,830.7400000000005,120
CUST0000001480,762.2199999999996,78
CUST0000001962,594.3000000000005,65
CUST0000002218,579.0199999999996,139
CUST0000002245,166.33999999999995,27
CUST0000002623,95.22999999999998,3
CUST0000002678,93.78,31
CUST0000003190,1504.1099999999965,116
CUST0000003347,5237.089999999975,148
CUST0000003447,3873.330000000016,275
CUST0000003603,13.799999999999999,4
CUST0000004239,4794.960000000015,565
CUST0000004287,494.95999999999987,165
CUST0000004457,1552.2999999999947,125
CUST0000004696,48.77999999999999,22
CUST0000004825,3378.349999999989,197
CUST0000005053,4706.379999999976,264
CUST0000005388,178.17999999999998,59
CUST0000005739,185.63000000000002,48
CUST0000005874,317.83999999999986,92
CUST0000006239,178.5,8
CUST0000006394,1325.0500000000006,134
CUST0000006445,629.3000000000002,120
CUST0000006976,173.33,58
CUST0000007046,708.2999999999988,65
CUST0000007540,14.17,1
CUST0000007634,9.620000000000001,3
CUST0000007988,321.41000000000025,152
CUST0000008112,2.76,1
CUST0000008206,46.64000000000001,7
CUST0000008235,223.39999999999998,5
CUST0000008483,54.55,15
CUST0000008640,67.08999999999999,10
CUST0000008716,31.57,4
CUST0000008879,183.42000000000002,65
CUST0000008910,1530.6799999999967,144
CUST0000009422,1025.5199999999968,157
CUST0000009537,2095.5699999999906,386
CUST0000009737,4811.990000000011,546
CUST0000009875,9.860000000000001,1
CUST0000010288,1367.660000000001,75
CUST0000010509,398.73,44
CUST0000010532,147.48999999999998,27
CUST0000010712,393.1599999999997,33
CUST0000010805,379.9600000000003,70
CUST0000010921,2934.070000000014,239
CUST0000010950,1089.220000000001,103
CUST0000011068,1439.4099999999917,213
CUST0000011182,49.57,12
CUST0000011232,134.93,16
CUST0000011546,894.8600000000005,21
CUST0000011647,1984.109999999998,93
CUST0000011873,1403.3500000000056,164
CUST0000012055,82.17999999999998,10
CUST0000012241,193.82000000000014,55
CUST0000012357,1711.7000000000025,79
CUST0000012470,187.78000000000003,16
CUST0000012535,519.0499999999993,13
CUST0000013075,2965.5399999999954,110
CUST0000013461,240.66999999999993,22
CUST0000013530,43.31,8
CUST0000013675,6.67,1
CUST0000013725,406.02000000000004,17
CUST0000014241,94.29,6
CUST0000014549,3622.329999999996,516
CUST0000014840,1935.2799999999954,230
CUST0000014855,61.699999999999996,2
